Image_name,UT_id,date_only(YYYY-MM-DD)
UT75-15D_01_17_2016.JPG,UT75-15D,2016-01-17
UT75-15D_01_18_2016.JPG,UT75-15D,2016-01-18
UT75-15D_01_19_2016.JPG,UT75-15D,2016-01-19
UT75-15D_01_21_2016.JPG,UT75-15D,2016-01-21
UT75-15D_01_22_2016.JPG,UT75-15D,2016-01-22
UT75-15D_01_23_2016.JPG,UT75-15D,2016-01-23
UT75-15D_01_24_2016.JPG,UT75-15D,2016-01-24
UT75-15D_01_25_2016.JPG,UT75-15D,2016-01-25
UT75-15D_01_26_2016.JPG,UT75-15D,2016-01-26
UT75-15D_01_27_2016.JPG,UT75-15D,2016-01-27
UT75-15D_01_28_2016.JPG,UT75-15D,2016-01-28
UT75-15D_01_29_2016.JPG,UT75-15D,2016-01-29
UT75-15D_01_30_2016.JPG,UT75-15D,2016-01-30
UT75-15D_01_31_2016.JPG,UT75-15D,2016-01-31
UT75-15D_02_01_2016.JPG,UT75-15D,2016-02-01
UT75-15D_02_02_2016.JPG,UT75-15D,2016-02-02
UT75-15D_02_03_2016.JPG,UT75-15D,2016-02-03
UT75-15D_02_04_2016.JPG,UT75-15D,2016-02-04
UT75-15D_02_05_2016.JPG,UT75-15D,2016-02-05
UT75-15D_02_06_2016.JPG,UT75-15D,2016-02-06
UT75-15D_02_08_2016.JPG,UT75-15D,2016-02-08
UT75-15D_02_09_2016.JPG,UT75-15D,2016-02-09
UT75-15D_02_10_2016.JPG,UT75-15D,2016-02-10
UT75-15D_02_11_2016.JPG,UT75-15D,2016-02-11
UT75-15D_02_12_2016.JPG,UT75-15D,2016-02-12
UT75-15D_02_13_2016.JPG,UT75-15D,2016-02-13
UT75-15D_02_14_2016.JPG,UT75-15D,2016-02-14
UT75-15D_02_15_2016.JPG,UT75-15D,2016-02-15
UT75-15D_02_16_2016.JPG,UT75-15D,2016-02-16
UT75-15D_02_17_2016.JPG,UT75-15D,2016-02-17
UT75-15D_02_18_2016.JPG,UT75-15D,2016-02-18
UT75-15D_02_19_2016.JPG,UT75-15D,2016-02-19
UT75-15D_02_20_2016.JPG,UT75-15D,2016-02-20
UT75-15D_02_21_2016.JPG,UT75-15D,2016-02-21
UT75-15D_02_22_2016.JPG,UT75-15D,2016-02-22
UT75-15D_02_23_2016.JPG,UT75-15D,2016-02-23
